決算発表日	証券コード	会社名	関連情報	決算期	決算種別	業種	上場市場
2020/2/3	1333	マルハニチロ	適時開示	3月期	第３	水産	東証
2020/2/3	1379	ホクト	適時開示	3月期	第３	水産	東証
2020/2/3	1515	日鉄鉱業	適時開示	3月期	第３	鉱業	東証
2020/2/3	1728	ミサワホーム中国	適時開示	3月期	第３	建設	東証
2020/2/3	1730	麻生フオームクリート	適時開示	3月期	第３	建設	東証
2020/2/3	2222	寿スピリッツ	適時開示	3月期	第３	食品	東証
2020/2/3	2281	プリマハム	適時開示	3月期	第３	食品	東証
2020/2/3	2309	シミックホールディングス	適時開示	9月期	第１	サービス	東証
2020/2/3	2428	ウェルネット	適時開示	6月期	第２	サービス	東証
2020/2/3	2477	手間いらず	適時開示	6月期	第２	サービス	東証
2020/2/3	2551	マルサンアイ	適時開示	9月期	第１	食品	名証
2020/2/3	2676	高千穂交易	適時開示	3月期	第３	商社	東証
2020/2/3	2689	カワニシホールディングス	適時開示	6月期	第２	商社	東証
2020/2/3	2814	佐藤食品工業	適時開示	3月期	第３	食品	東証
2020/2/3	2902	太陽化学	適時開示	3月期	第３	食品	名証
2020/2/3	2907	あじかん	適時開示	3月期	第３	食品	東証
2020/2/3	3024	クリエイト	適時開示	3月期	第３	商社	東証
2020/2/3	3064	ＭｏｎｏｔａＲＯ	適時開示	12月期	本	小売業	東証
2020/2/3	3191	ジョイフル本田	適時開示	6月期	第２	小売業	東証
2020/2/3	3467	アグレ都市デザイン	適時開示	3月期	第３	不動産	東証
2020/2/3	3484	テンポイノベーション	適時開示	3月期	第３	不動産	東証
2020/2/3	3612	ワールド	適時開示	3月期	第３	繊維	東証
2020/2/3	3632	グリー	適時開示	6月期	第２	サービス	東証
2020/2/3	3687	フィックスターズ	適時開示	9月期	第１	サービス	東証
2020/2/3	3750	ＦＲＡＣＴＡＬＥ	適時開示	3月期	第３	サービス	東証
2020/2/3	4042	東ソー	適時開示	3月期	第３	化学	東証
2020/2/3	4044	セントラル硝子	適時開示	3月期	第３	化学	東証
2020/2/3	4228	積水化成品工業	適時開示	3月期	第３	化学	東証
2020/2/3	4275	カーリットホールディングス	適時開示	3月期	第３	化学	東証
2020/2/3	4320	ＣＥホールディングス	適時開示	9月期	第１	サービス	東証
2020/2/3	4507	塩野義製薬	適時開示	3月期	第３	医薬品	東証
2020/2/3	4514	あすか製薬	適時開示	3月期	第３	医薬品	東証
2020/2/3	4521	科研製薬	適時開示	3月期	第３	医薬品	東証
2020/2/3	4550	日水製薬	適時開示	3月期	第３	医薬品	東証
2020/2/3	4563	アンジェス	適時開示	12月期	本	医薬品	東証
2020/2/3	4636	Ｔ＆Ｋ　ＴＯＫＡ	適時開示	3月期	第３	化学	東証
2020/2/3	4736	日本ラッド	適時開示	3月期	第３	サービス	東証
2020/2/3	4746	東計電算	適時開示	12月期	本	サービス	東証
2020/2/3	4768	大塚商会	適時開示	12月期	本	サービス	東証
2020/2/3	4783	日本コンピュータ・ダイナミクス	適時開示	3月期	第３	サービス	東証
2020/2/3	4800	オリコン	適時開示	3月期	第３	サービス	東証
2020/2/3	4902	コニカミノルタ	適時開示	3月期	第３	精密機器	東証
2020/2/3	4968	荒川化学工業	適時開示	3月期	第３	化学	東証
2020/2/3	4975	ＪＣＵ	適時開示	3月期	第３	化学	東証
2020/2/3	5367	ニッカトー	適時開示	3月期	第３	窯業	東証
